Ref Image,Check Image,Image Size,Size Group,CLIP Mismatch %,Max Segment Mismatch %,All Segment Mismatch %,Scale Mismatch %,Status
TLT_SERV_ON.png,toCheck_100127_00213s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
BUZ_00_OFF.png,toCheck_100127_00213s_BUZ_00_OFF.png,38400,Big,4.3,5.32,"[0.05, 0.46, 0.05, 0.1, 0.02, 5.32, 1.15, 0.07, 0.05, 2.08, 0.37, 0.24]",0.0,NOK
BUZ_00_OFF.png,toCheck_100128_00213s_BUZ_00_OFF.png,38400,Big,5.83,4.54,"[0.17, 0.66, 0.51, 0.24, 2.1, 4.54, 1.0, 0.1, 0.27, 1.95, 1.46, 0.83]",0.0,NOK
TLT_SERV_ON.png,toCheck_100129_00523s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TLT_SERV_ON.png,toCheck_100129_00191s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TLT_SERV_ON.png,toCheck_100129_00213s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TLT_SERV_ON.png,toCheck_100134_00523s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TLT_SERV_ON.png,toCheck_100134_00191s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
TLT_SERV_ON.png,toCheck_100134_00213s_TLT_SERV_ON.png,30736,Big,0.0,0.02,"[0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,OK
RMLARV_38_MI_NAV_LY.png,toCheck_100001_00552s_RMLARV_38_MI_NAV_LY.png,1376640,Big,0.02,0.1,"[0.05, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0, 0.1, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0]",0.0,OK
RMLARV_555p9_NAV_LY.png,toCheck_100001_00577s_RMLARV_555p9_NAV_LY.png,1376640,Big,0.02,0.1,"[0.05, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0, 0.1, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0]",0.0,OK
NAV_EMPTY_LY.png,toCheck_100001_00602s_NAV_EMPTY_LY.png,1376640,Big,0.0,0.1,"[0.05, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0, 0.1, -0.05, 0.0, 0.0, 0.02, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0]",0.0,OK
NAV_LY_NOVIDEOSTREAM_W_SBR.png,toCheck_100001_00377s_NAV_LY_NOVIDEOSTREAM_W_SBR.png,1376640,Big,0.0,0.1,"[0.05, 0.0, 0.02, 0.0, 0.02, 0.0, 0.02, 0.0, 0.1, -0.05, 0.0, 0.0, 0.02, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0]",0.0,OK
